Customer Key,WWI Customer ID,Customer,Bill To Customer,Buying Group,Primary Contact,Postal Code,Credit Limit
41,41,"Tailspin Toys (Olivette, MO)",Tailspin Toys (Head Office),Tailspin Toys,Lana Rozej,90042.0,100000.0
42,42,"Tailspin Toys (Arietta, NY)",Tailspin Toys (Head Office),Tailspin Toys,Chandrakanta Raut,90124.0,100000.0
43,43,"Tailspin Toys (Upper Preston, WA)",Tailspin Toys (Head Office),Tailspin Toys,Ganapati Gadiyaram,90687.0,100000.0
44,44,"Tailspin Toys (Amanda Park, WA)",Tailspin Toys (Head Office),Tailspin Toys,Adrijana Blagojevic,90258.0,100000.0
45,45,"Tailspin Toys (Severna Park, MD)",Tailspin Toys (Head Office),Tailspin Toys,Lap Dinh,90326.0,100000.0
46,46,"Tailspin Toys (Jemison, AL)",Tailspin Toys (Head Office),Tailspin Toys,Didem ozCelik,90683.0,100000.0
47,47,"Tailspin Toys (Lake Hughes, CA)",Tailspin Toys (Head Office),Tailspin Toys,Serhat Akbulut,90358.0,100000.0
48,48,"Tailspin Toys (Trentwood, WA)",Tailspin Toys (Head Office),Tailspin Toys,Daniela Barrios,90615.0,100000.0
49,49,"Tailspin Toys (Muir, MI)",Tailspin Toys (Head Office),Tailspin Toys,Julia Slobodova,90717.0,100000.0
50,50,"Tailspin Toys (Hambleton, WV)",Tailspin Toys (Head Office),Tailspin Toys,Marcela Jankova,90087.0,100000.0
51,51,"Tailspin Toys (Imlaystown, NJ)",Tailspin Toys (Head Office),Tailspin Toys,Dipali Sonkar,90051.0,100000.0
52,52,"Tailspin Toys (Idria, CA)",Tailspin Toys (Head Office),Tailspin Toys,Bansidhar Mitra,90556.0,100000.0
53,53,"Tailspin Toys (Nanafalia, AL)",Tailspin Toys (Head Office),Tailspin Toys,Gunnar Persson,90783.0,100000.0
54,54,"Tailspin Toys (Railroad, PA)",Tailspin Toys (Head Office),Tailspin Toys,Vitezslav Rehak,90586.0,100000.0
55,55,"Tailspin Toys (Gum Branch, GA)",Tailspin Toys (Head Office),Tailspin Toys,Bharat Sikdar,90559.0,100000.0
56,56,"Tailspin Toys (Royal City, WA)",Tailspin Toys (Head Office),Tailspin Toys,Juan Bezanson,90398.0,100000.0
57,57,"Tailspin Toys (Lakemore, OH)",Tailspin Toys (Head Office),Tailspin Toys,Aile Mae,90347.0,100000.0
58,58,"Tailspin Toys (Mappsburg, VA)",Tailspin Toys (Head Office),Tailspin Toys,Pratap Varghese,90678.0,100000.0
59,59,"Tailspin Toys (Edgartown, MA)",Tailspin Toys (Head Office),Tailspin Toys,Margita Kopecka,90684.0,100000.0
60,60,"Tailspin Toys (East Dailey, WV)",Tailspin Toys (Head Office),Tailspin Toys,Lekha Mitra,90548.0,100000.0
61,61,"Tailspin Toys (Fairfield Glade, TN)",Tailspin Toys (Head Office),Tailspin Toys,Abhoy PrabhupÄda,90050.0,100000.0
62,62,"Tailspin Toys (Great Neck Estates, NY)",Tailspin Toys (Head Office),Tailspin Toys,Alida Caune,90240.0,100000.0
63,63,"Tailspin Toys (Stallion Springs, CA)",Tailspin Toys (Head Office),Tailspin Toys,Agnes Szolosy,90076.0,100000.0
64,64,"Tailspin Toys (Hodgdon, ME)",Tailspin Toys (Head Office),Tailspin Toys,Rohana Kaskar,90673.0,100000.0
65,65,"Tailspin Toys (North Cowden, TX)",Tailspin Toys (Head Office),Tailspin Toys,Hanuman Dubey,90406.0,100000.0
66,66,"Tailspin Toys (Madaket, MA)",Tailspin Toys (Head Office),Tailspin Toys,Bao Dao,90614.0,100000.0
67,67,"Tailspin Toys (Sentinel Butte, ND)",Tailspin Toys (Head Office),Tailspin Toys,Preyakshna Aluri,90422.0,100000.0
68,68,"Tailspin Toys (Gardere, LA)",Tailspin Toys (Head Office),Tailspin Toys,Valentina Conti,90136.0,100000.0
69,69,"Tailspin Toys (Lytle Creek, CA)",Tailspin Toys (Head Office),Tailspin Toys,Theodore Saucier,90795.0,100000.0
70,70,"Tailspin Toys (New Baden, IL)",Tailspin Toys (Head Office),Tailspin Toys,Mariana Fierro,90235.0,100000.0
71,71,"Tailspin Toys (Good Hart, MI)",Tailspin Toys (Head Office),Tailspin Toys,Afshin Djalili,90466.0,100000.0
72,72,"Tailspin Toys (Cortaro, AZ)",Tailspin Toys (Head Office),Tailspin Toys,Bianh Phan,90351.0,100000.0
73,73,"Tailspin Toys (Cokato, MN)",Tailspin Toys (Head Office),Tailspin Toys,Koknesis Vitols,90311.0,100000.0
74,74,"Tailspin Toys (Indios, PR)",Tailspin Toys (Head Office),Tailspin Toys,Roxane Rastgu,90193.0,100000.0
75,75,"Tailspin Toys (Windsor Locks, CT)",Tailspin Toys (Head Office),Tailspin Toys,Vlasta Srbova,90456.0,100000.0
76,76,"Tailspin Toys (Yewed, OK)",Tailspin Toys (Head Office),Tailspin Toys,Lata Babu,90308.0,100000.0
77,77,"Tailspin Toys (Hahira, GA)",Tailspin Toys (Head Office),Tailspin Toys,Airi Vassiljev,90706.0,100000.0
78,78,"Tailspin Toys (Sekiu, WA)",Tailspin Toys (Head Office),Tailspin Toys,Duleep Walia,90686.0,100000.0
79,79,"Tailspin Toys (Page City, KS)",Tailspin Toys (Head Office),Tailspin Toys,Matyas Macek,90316.0,100000.0
80,80,"Tailspin Toys (Valdese, NC)",Tailspin Toys (Head Office),Tailspin Toys,Bharat Ankitham,90541.0,100000.0
81,81,"Tailspin Toys (Big Moose, NY)",Tailspin Toys (Head Office),Tailspin Toys,Vera Kubatova,90798.0,100000.0
82,82,"Tailspin Toys (La Cueva, NM)",Tailspin Toys (Head Office),Tailspin Toys,Rakesh Nishad,90253.0,100000.0
83,83,"Tailspin Toys (Absecon, NJ)",Tailspin Toys (Head Office),Tailspin Toys,Sang Tran,90540.0,100000.0
84,84,"Tailspin Toys (Aceitunas, PR)",Tailspin Toys (Head Office),Tailspin Toys,Eekalabya Bose,90213.0,100000.0
85,85,"Tailspin Toys (Andrix, CO)",Tailspin Toys (Head Office),Tailspin Toys,Tommy Kilpi,90653.0,100000.0
86,86,"Tailspin Toys (New Lexington, OH)",Tailspin Toys (Head Office),Tailspin Toys,Andrea Ricci,90637.0,100000.0
87,87,"Tailspin Toys (Sauquoit, NY)",Tailspin Toys (Head Office),Tailspin Toys,Isabell Duperre,90199.0,100000.0
88,88,"Tailspin Toys (Dracut, MA)",Tailspin Toys (Head Office),Tailspin Toys,Amarendra Ankitham,90519.0,100000.0
89,89,"Tailspin Toys (Victory Gardens, NJ)",Tailspin Toys (Head Office),Tailspin Toys,Aakarsha Nookala,90461.0,100000.0
90,90,"Tailspin Toys (Tolna, ND)",Tailspin Toys (Head Office),Tailspin Toys,Stanislav Sedlar,90089.0,100000.0
91,91,"Tailspin Toys (Alstead, NH)",Tailspin Toys (Head Office),Tailspin Toys,GokCe Karaca,90073.0,100000.0
92,92,"Tailspin Toys (Sans Souci, SC)",Tailspin Toys (Head Office),Tailspin Toys,Coralie Emond,90553.0,100000.0
93,93,"Tailspin Toys (Clewiston, FL)",Tailspin Toys (Head Office),Tailspin Toys,Karina Celmina,90354.0,100000.0
94,94,"Tailspin Toys (Cheyenne Wells, CO)",Tailspin Toys (Head Office),Tailspin Toys,Teresa Pisani,90449.0,100000.0
95,95,"Tailspin Toys (Lavon, TX)",Tailspin Toys (Head Office),Tailspin Toys,Alba Ponce,90310.0,100000.0
96,96,"Tailspin Toys (South La Paloma, TX)",Tailspin Toys (Head Office),Tailspin Toys,Piper Leigh,90792.0,100000.0
97,97,"Tailspin Toys (Manchester Center, VT)",Tailspin Toys (Head Office),Tailspin Toys,Karie Seymour,90179.0,100000.0
98,98,"Tailspin Toys (El Centro, CA)",Tailspin Toys (Head Office),Tailspin Toys,Timea Peto,90573.0,100000.0
99,99,"Tailspin Toys (Guin, AL)",Tailspin Toys (Head Office),Tailspin Toys,Victoria Ene,90779.0,50.0
100,100,"Tailspin Toys (Tunnelhill, PA)",Tailspin Toys (Head Office),Tailspin Toys,Bhavani Bhowmick,90788.0,100000.0
101,101,"Tailspin Toys (Cundiyo, NM)",Tailspin Toys (Head Office),Tailspin Toys,Yasmine Berggren,90515.0,100000.0
102,102,"Tailspin Toys (Fieldbrook, CA)",Tailspin Toys (Head Office),Tailspin Toys,Tea Koppel,90205.0,100000.0
103,103,"Tailspin Toys (Kalvesta, KS)",Tailspin Toys (Head Office),Tailspin Toys,Naseem Radan,90130.0,100000.0
104,104,"Tailspin Toys (Wallagrass, ME)",Tailspin Toys (Head Office),Tailspin Toys,Laboni Deb,90579.0,100000.0
105,105,"Tailspin Toys (Tomnolen, MS)",Tailspin Toys (Head Office),Tailspin Toys,Sung-Hwan Hwang,90400.0,100000.0
106,106,"Tailspin Toys (Tumacacori, AZ)",Tailspin Toys (Head Office),Tailspin Toys,Shiva Pipalia,90662.0,100000.0
107,107,"Tailspin Toys (Glen Avon, CA)",Tailspin Toys (Head Office),Tailspin Toys,Karie Mercier,90782.0,100000.0
108,108,"Tailspin Toys (Bernie, MO)",Tailspin Toys (Head Office),Tailspin Toys,Bhanu Thota,90045.0,100000.0
109,109,"Tailspin Toys (South Laguna, CA)",Tailspin Toys (Head Office),Tailspin Toys,Ae-Cha Joo,90247.0,100000.0
110,110,"Tailspin Toys (North Crows Nest, IN)",Tailspin Toys (Head Office),Tailspin Toys,Dinara Saparkyzy,90792.0,100000.0
111,111,"Tailspin Toys (Oriole Beach, FL)",Tailspin Toys (Head Office),Tailspin Toys,Adam Dvorak,90436.0,100000.0
112,112,"Tailspin Toys (Sallyards, KS)",Tailspin Toys (Head Office),Tailspin Toys,Ingrida Celmina,90706.0,100000.0
113,113,"Tailspin Toys (Dahlia, NM)",Tailspin Toys (Head Office),Tailspin Toys,Jae-Hwa Jang,90264.0,100000.0
114,114,"Tailspin Toys (Cherry Grove Beach, SC)",Tailspin Toys (Head Office),Tailspin Toys,Duck-Hwan Bae,90146.0,100000.0
115,115,"Tailspin Toys (Bethania, NC)",Tailspin Toys (Head Office),Tailspin Toys,Jagoda Vasiljevic,90368.0,100000.0
116,116,"Tailspin Toys (Rafael Capó, PR)",Tailspin Toys (Head Office),Tailspin Toys,Toma Nastase,90685.0,100000.0
117,117,"Tailspin Toys (Scofield, UT)",Tailspin Toys (Head Office),Tailspin Toys,Valerio Cardoso,90237.0,100000.0
118,118,"Tailspin Toys (Vassalboro, ME)",Tailspin Toys (Head Office),Tailspin Toys,Ileana Aguilar,90546.0,100000.0
119,119,"Tailspin Toys (Statenville, GA)",Tailspin Toys (Head Office),Tailspin Toys,Tjasa Weitzer,90504.0,100000.0
120,120,"Tailspin Toys (Bratenahl, OH)",Tailspin Toys (Head Office),Tailspin Toys,Lucas Van Veenen,90154.0,100000.0
121,121,"Tailspin Toys (Elrosa, MN)",Tailspin Toys (Head Office),Tailspin Toys,Steven Frasier,90079.0,100000.0
122,122,"Tailspin Toys (McClave, CO)",Tailspin Toys (Head Office),Tailspin Toys,Mauri Enestam,90439.0,100000.0
123,123,"Tailspin Toys (Roe Park, NY)",Tailspin Toys (Head Office),Tailspin Toys,Ella Zvirbule,90775.0,100000.0
124,124,"Tailspin Toys (Hanoverton, OH)",Tailspin Toys (Head Office),Tailspin Toys,Sevim AydÄ±n,90770.0,100000.0
125,125,"Tailspin Toys (Annamoriah, WV)",Tailspin Toys (Head Office),Tailspin Toys,Blanka Stavinohova,90485.0,100000.0
126,126,"Tailspin Toys (Francis Mills, NJ)",Tailspin Toys (Head Office),Tailspin Toys,Akanksha Iyengar,90743.0,100000.0
127,127,"Tailspin Toys (Point Roberts, WA)",Tailspin Toys (Head Office),Tailspin Toys,Kertu Smirnov,90504.0,100000.0
128,128,"Tailspin Toys (East Portal, CO)",Tailspin Toys (Head Office),Tailspin Toys,Jure Grabensek,90432.0,100000.0
129,129,"Tailspin Toys (Mineral Hills, MI)",Tailspin Toys (Head Office),Tailspin Toys,Javiera Madera,90442.0,100000.0
130,130,"Tailspin Toys (Maple Shade, NJ)",Tailspin Toys (Head Office),Tailspin Toys,Aija Mottola,90549.0,100000.0
131,131,"Tailspin Toys (Kwethluk, AK)",Tailspin Toys (Head Office),Tailspin Toys,Darshan Gupta,90759.0,100000.0
132,132,"Tailspin Toys (Minidoka, ID)",Tailspin Toys (Head Office),Tailspin Toys,Akanksha Sarma,90324.0,100000.0
133,133,"Tailspin Toys (Lake Erie Beach, NY)",Tailspin Toys (Head Office),Tailspin Toys,Aino Kallas,90186.0,100000.0
134,134,"Tailspin Toys (Tavares, FL)",Tailspin Toys (Head Office),Tailspin Toys,An Dung Phung,90467.0,100000.0
135,135,"Tailspin Toys (Terre du Lac, MO)",Tailspin Toys (Head Office),Tailspin Toys,Gaurav Sikdar,90145.0,100000.0
136,136,"Tailspin Toys (Mount Montgomery, NV)",Tailspin Toys (Head Office),Tailspin Toys,Anirban Sen,90302.0,100000.0
137,137,"Tailspin Toys (Carbonville, UT)",Tailspin Toys (Head Office),Tailspin Toys,Chandrakanta Benjaree,90339.0,100000.0
138,138,"Tailspin Toys (Navassa, NC)",Tailspin Toys (Head Office),Tailspin Toys,Badari Chadalavada,90535.0,100000.0
139,139,"Tailspin Toys (Hardeeville, SC)",Tailspin Toys (Head Office),Tailspin Toys,Gabriele Udinesi,90005.0,100000.0
140,140,"Tailspin Toys (Furley, KS)",Tailspin Toys (Head Office),Tailspin Toys,Malay PrabhupÄda,90416.0,100000.0
141,141,"Tailspin Toys (Arrow Rock, MO)",Tailspin Toys (Head Office),Tailspin Toys,Hedi Koppel,90639.0,100000.0
142,142,"Tailspin Toys (King Cove, AK)",Tailspin Toys (Head Office),Tailspin Toys,Denisa Ioveanu,90457.0,100000.0
143,143,"Tailspin Toys (Ashtabula, OH)",Tailspin Toys (Head Office),Tailspin Toys,Vaclav Polaskova,90119.0,100000.0
144,144,"Tailspin Toys (Larose, LA)",Tailspin Toys (Head Office),Tailspin Toys,Pramod Nishad,90342.0,100000.0
145,145,"Tailspin Toys (Manahawkin, NJ)",Tailspin Toys (Head Office),Tailspin Toys,Prasong Tuntayakul,90686.0,100000.0
146,146,"Tailspin Toys (Belgreen, AL)",Tailspin Toys (Head Office),Tailspin Toys,Aija Zvaigzne,90735.0,100000.0
147,147,"Tailspin Toys (Fishtail, MT)",Tailspin Toys (Head Office),Tailspin Toys,Gilbert Pelland,90432.0,100000.0
148,148,"Tailspin Toys (Baraboo, WI)",Tailspin Toys (Head Office),Tailspin Toys,Marcella Napolitani,90165.0,100000.0
149,149,"Tailspin Toys (Inguadona, MN)",Tailspin Toys (Head Office),Tailspin Toys,Femke Hollenberg,90245.0,100000.0
150,150,"Tailspin Toys (Corfu, NY)",Tailspin Toys (Head Office),Tailspin Toys,Brita Jarvi,90690.0,100000.0
151,151,"Tailspin Toys (Antares, AZ)",Tailspin Toys (Head Office),Tailspin Toys,Donato Araujo,90385.0,100000.0
152,152,"Tailspin Toys (Sun River, MT)",Tailspin Toys (Head Office),Tailspin Toys,Aleksander Jarvi,90309.0,100000.0
153,153,"Tailspin Toys (Marcell, MN)",Tailspin Toys (Head Office),Tailspin Toys,Malati Shenoy,90729.0,100000.0
154,154,"Tailspin Toys (Eden Valley, MN)",Tailspin Toys (Head Office),Tailspin Toys,Gui-Hyun Ji,90367.0,100000.0
155,155,"Tailspin Toys (Arbor Vitae, WI)",Tailspin Toys (Head Office),Tailspin Toys,Michal Polaskova,90333.0,100000.0
156,156,"Tailspin Toys (Hollywood Park, TX)",Tailspin Toys (Head Office),Tailspin Toys,Dilara Ayhan,90405.0,100000.0
157,157,"Tailspin Toys (Saks, AL)",Tailspin Toys (Head Office),Tailspin Toys,Peter Macias,90362.0,100000.0
158,158,"Tailspin Toys (Donner, LA)",Tailspin Toys (Head Office),Tailspin Toys,Kurt Lukes,90567.0,100000.0
159,159,"Tailspin Toys (Saint Louis Park, MN)",Tailspin Toys (Head Office),Tailspin Toys,Beatrise Bite,90401.0,100000.0
160,160,"Tailspin Toys (Crary, ND)",Tailspin Toys (Head Office),Tailspin Toys,Bishwanath Ghosh,90248.0,100000.0
161,161,"Tailspin Toys (Aspen Park, CO)",Tailspin Toys (Head Office),Tailspin Toys,Gianguido Lucchesi,90644.0,100000.0
162,162,"Tailspin Toys (Glen Park, NY)",Tailspin Toys (Head Office),Tailspin Toys,Nu Bach,90026.0,100000.0
163,163,"Tailspin Toys (Panaca, NV)",Tailspin Toys (Head Office),Tailspin Toys,Ivonna Ene,90297.0,100000.0
164,164,"Tailspin Toys (Rothsville, PA)",Tailspin Toys (Head Office),Tailspin Toys,Ceyhun sahin,90538.0,100000.0
165,165,"Tailspin Toys (Topstone, CT)",Tailspin Toys (Head Office),Tailspin Toys,Tian Peng,90675.0,100000.0
166,166,"Tailspin Toys (McCamey, TX)",Tailspin Toys (Head Office),Tailspin Toys,Vlastimil Bohuslav,90434.0,100000.0
167,167,"Tailspin Toys (Rockwall, TX)",Tailspin Toys (Head Office),Tailspin Toys,Nejc Vosnik,90294.0,100000.0
168,168,"Tailspin Toys (Seagraves, TX)",Tailspin Toys (Head Office),Tailspin Toys,Anindo Mazumdar,90453.0,100000.0
169,169,"Tailspin Toys (Sinclair, WY)",Tailspin Toys (Head Office),Tailspin Toys,Nils Balodis,90401.0,100000.0
170,170,"Tailspin Toys (Eastchester, NY)",Tailspin Toys (Head Office),Tailspin Toys,Daniella Barbosa,90031.0,100000.0
171,171,"Tailspin Toys (Ortley Beach, NJ)",Tailspin Toys (Head Office),Tailspin Toys,Raymond Levesque,90179.0,100000.0
172,172,"Tailspin Toys (Madrone, NM)",Tailspin Toys (Head Office),Tailspin Toys,Raymond Desforges,90617.0,100000.0
173,173,"Tailspin Toys (Wappingers Falls, NY)",Tailspin Toys (Head Office),Tailspin Toys,Raju Atluri,90681.0,100000.0
174,174,"Tailspin Toys (Astor Park, FL)",Tailspin Toys (Head Office),Tailspin Toys,Matyas Bohuslav,90179.0,100000.0
175,175,"Tailspin Toys (San Acacia, NM)",Tailspin Toys (Head Office),Tailspin Toys,Julio Correa,90445.0,100000.0
176,176,"Tailspin Toys (Malott, WA)",Tailspin Toys (Head Office),Tailspin Toys,Banshari De,90015.0,100000.0
177,177,"Tailspin Toys (Orrtanna, PA)",Tailspin Toys (Head Office),Tailspin Toys,Ngai Lam,90008.0,100000.0
178,178,"Tailspin Toys (Armstrong Creek, WI)",Tailspin Toys (Head Office),Tailspin Toys,Hyun-Doo Song,90397.0,100000.0
179,179,"Tailspin Toys (Hiteman, IA)",Tailspin Toys (Head Office),Tailspin Toys,Gabriela Srbova,90212.0,100000.0
180,180,"Tailspin Toys (Caselton, NV)",Tailspin Toys (Head Office),Tailspin Toys,Serkan senturk,90747.0,100000.0
181,181,"Tailspin Toys (Heilwood, PA)",Tailspin Toys (Head Office),Tailspin Toys,Aahlada Thota,90300.0,100000.0
182,182,"Tailspin Toys (Hayes Center, NE)",Tailspin Toys (Head Office),Tailspin Toys,Ayberk sahin,90352.0,100000.0
183,183,"Tailspin Toys (Tierra Verde, FL)",Tailspin Toys (Head Office),Tailspin Toys,Kaan Tekin,90195.0,100000.0
184,184,"Tailspin Toys (South Euclid, OH)",Tailspin Toys (Head Office),Tailspin Toys,Lata Khandke,90551.0,100000.0
185,185,"Tailspin Toys (Vidrine, LA)",Tailspin Toys (Head Office),Tailspin Toys,Truman Eder,90272.0,100000.0
186,186,"Tailspin Toys (Placer, OR)",Tailspin Toys (Head Office),Tailspin Toys,Lorraine Paulet,90628.0,100000.0
187,187,"Tailspin Toys (Brown City, MI)",Tailspin Toys (Head Office),Tailspin Toys,Biplab De,90503.0,100000.0
188,188,"Tailspin Toys (Premont, TX)",Tailspin Toys (Head Office),Tailspin Toys,Rachelle Brasseur,90375.0,100000.0
189,189,"Tailspin Toys (Wilkes-Barre, PA)",Tailspin Toys (Head Office),Tailspin Toys,Sara Charlton,90766.0,100000.0
190,190,"Tailspin Toys (Teutopolis, IL)",Tailspin Toys (Head Office),Tailspin Toys,Ramesh Mukherjee,90591.0,100000.0
191,191,"Tailspin Toys (Orchard Hill, GA)",Tailspin Toys (Head Office),Tailspin Toys,Ester Ahmadian,90698.0,100000.0
192,192,"Tailspin Toys (Optimo, NM)",Tailspin Toys (Head Office),Tailspin Toys,Daniel Magnusson,90080.0,100000.0
193,193,"Tailspin Toys (Knifley, KY)",Tailspin Toys (Head Office),Tailspin Toys,Jack Carpenter,90298.0,100000.0
194,194,"Tailspin Toys (Naples Park, FL)",Tailspin Toys (Head Office),Tailspin Toys,Thomas Fischer,90386.0,100000.0
195,195,"Tailspin Toys (Lesslie, SC)",Tailspin Toys (Head Office),Tailspin Toys,Viollette Monty,90771.0,100000.0
196,196,"Tailspin Toys (Howells, NE)",Tailspin Toys (Head Office),Tailspin Toys,Alinne Cardoso,90444.0,100000.0
197,197,"Tailspin Toys (Magalia, CA)",Tailspin Toys (Head Office),Tailspin Toys,Mani Poddar,90226.0,100000.0
198,198,"Tailspin Toys (Buell, MO)",Tailspin Toys (Head Office),Tailspin Toys,Deakshitulu Mokkapati,90113.0,100000.0
199,199,"Tailspin Toys (Antonito, CO)",Tailspin Toys (Head Office),Tailspin Toys,Cezar Pavel,90346.0,100000.0
200,200,"Tailspin Toys (Tooele, UT)",Tailspin Toys (Head Office),Tailspin Toys,Fanni Benko,90100.0,100000.0
201,201,"Tailspin Toys (Skyway, WA)",Tailspin Toys (Head Office),Tailspin Toys,Brenda Morgan,90588.0,100000.0
202,401,Wingtip Toys (Head Office),Wingtip Toys (Head Office),Wingtip Toys,Olga Alexandrova,90625.0,100000.0
203,402,"Wingtip Toys (Black Lick, PA)",Wingtip Toys (Head Office),Wingtip Toys,Maris Baltins,90477.0,100000.0
204,403,"Wingtip Toys (Queen Valley, AZ)",Wingtip Toys (Head Office),Wingtip Toys,Parsa Reuser,90588.0,100000.0
205,404,"Wingtip Toys (Penns Creek, PA)",Wingtip Toys (Head Office),Wingtip Toys,Duleep Srivastava,90195.0,100000.0
206,405,"Wingtip Toys (Bourbonnais, IL)",Wingtip Toys (Head Office),Wingtip Toys,Miran Nikolic,90582.0,100000.0
207,406,"Wingtip Toys (Tuscaloosa, AL)",Wingtip Toys (Head Office),Wingtip Toys,Calin Bojin,90011.0,100000.0
